system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-01-30 17:45:07.795773,1327,0.0005021,0.0002510,-0.0784814,0.0001212,0.0000000,-0.0000606
2023-01-30 17:45:07.803799,1335,0.0004079,0.0003138,-0.0784500,0.0001212,0.0000606,-0.0000606
2023-01-30 17:45:07.811927,1343,0.0004393,0.0003766,-0.0784186,0.0000000,0.0002424,0.0000606
2023-01-30 17:45:07.819867,1351,0.0004707,0.0004707,-0.0784186,0.0000000,0.0000606,0.0000000
2023-01-30 17:45:07.827722,1359,0.0005335,0.0005335,-0.0784186,0.0001212,0.0000606,0.0000000
2023-01-30 17:45:07.835864,1367,0.0005648,0.0005648,-0.0784814,0.0001212,0.0000000,0.0000000
2023-01-30 17:45:07.843734,1375,0.0004707,0.0005021,-0.0784500,0.0000606,0.0000606,0.0000000
2023-01-30 17:45:07.851815,1383,0.0005648,0.0005021,-0.0785441,0.0001212,-0.0001212,0.0000000
2023-01-30 17:45:07.859876,1391,0.0005021,0.0005021,-0.0785128,0.0001212,-0.0001212,0.0000606
2023-01-30 17:45:07.867933,1399,0.0005335,0.0004707,-0.0784814,0.0002424,-0.0000606,0.0000606
2023-01-30 17:45:07.875969,1407,0.0005021,0.0004079,-0.0784500,0.0001818,0.0000000,-0.0000606
2023-01-30 17:45:07.883864,1415,0.0005335,0.0003766,-0.0784814,0.0001212,-0.0000606,0.0000000
2023-01-30 17:45:07.891867,1423,0.0005335,0.0003766,-0.0783872,-0.0000606,-0.0001818,0.0000606
2023-01-30 17:45:07.899940,1431,0.0005335,0.0003138,-0.0785128,0.0001212,-0.0002424,0.0000606
2023-01-30 17:45:07.907853,1439,0.0004707,0.0004079,-0.0783559,0.0001818,-0.0001818,0.0000606
2023-01-30 17:45:07.915909,1447,0.0004079,0.0004079,-0.0785441,-0.0000606,-0.0002424,0.0000000
2023-01-30 17:45:07.923915,1455,0.0004707,0.0005335,-0.0783872,0.0000606,-0.0001212,0.0000000
2023-01-30 17:45:07.931942,1463,0.0003766,0.0005021,-0.0784186,0.0000000,-0.0001212,0.0000000
